iter	Passed	Remaining
0	2	273
1	4	231
2	6	211
3	8	194
4	9	189
5	12	194
6	14	192
7	16	192
8	19	192
9	20	188
10	22	185
11	24	181
12	26	179
13	28	177
14	30	174
15	32	170
16	34	170
17	36	168
18	38	163
19	39	159
20	41	155
21	43	152
22	44	149
23	46	145
24	47	142
25	49	139
26	51	138
27	53	136
28	55	134
29	57	133
30	59	131
31	61	131
32	63	129
33	65	127
34	68	126
35	70	124
36	72	122
37	74	121
38	76	119
39	78	117
40	80	115
41	81	112
42	83	110
43	85	108
44	88	107
45	90	105
46	92	104
47	94	102
48	96	100
49	97	97
50	99	96
51	101	93
52	103	91
53	104	89
54	106	87
55	108	85
56	109	82
57	111	80
58	113	78
59	115	76
60	116	74
61	118	72
62	119	70
63	121	68
64	122	66
65	124	64
66	126	62
67	127	59
68	128	57
69	130	55
70	132	54
71	133	51
72	135	49
73	136	47
74	138	46
75	139	44
76	141	42
77	142	40
78	143	38
79	145	36
80	145	34
81	146	32
82	147	30
83	148	28
84	150	26
85	151	24
86	153	22
87	154	21
88	155	19
89	156	17
90	158	15
91	159	13
92	160	12
93	161	10
94	163	8
95	164	6
96	165	5
97	167	3
98	169	1
99	170	0
